dataset,profile_id,strata,hard_ratio,mid_ratio,easy_ratio,ranking_mode,n_seeds,val_f1_mean,val_f1_std,val_auc_mean,val_auc_std,val_pr_auc_mean,val_pr_auc_std,test1_f1_report_only_mean,test1_f1_report_only_std,test1_auc_report_only_mean,test1_auc_report_only_std,test1_pr_auc_report_only_mean,test1_pr_auc_report_only_std,test2_f1_report_only_mean,test2_f1_report_only_std,test2_auc_report_only_mean,test2_auc_report_only_std,test2_pr_auc_report_only_mean,test2_pr_auc_report_only_std,selection_score,mean_external_f1_report_only
df,s12_h0p45_m0p40_e0p15,12,0.45,0.4,0.15,distance_only,5,1.0,0.0,1.0,0.0,1.0,1.5700924586837752e-16,0.9364716903527303,0.015155449389319646,0.9995690893421431,0.0003966303151819655,0.9984056928357667,0.0014529086355315392,0.931248263139157,0.012530306877476005,0.9993361581920904,0.00047268928052771996,0.9978451363970299,0.001334493574940444,1.05,0.9338599767459437
df,s10_h0p65_m0p25_e0p10,10,0.65,0.25,0.1,distance_only,5,1.0,0.0,1.0,0.0,1.0,1.1102230246251565e-16,0.9640475118916101,0.017615989663833875,0.9991525423728813,0.0009451700015146493,0.9970065074020027,0.0033810406914143894,0.9723498964754214,0.02074704495794818,0.9987853107344632,0.001001730125790789,0.9966190815584998,0.0022637574159558513,1.05,0.9681987041835157
df,s10_h0p60_m0p25_e0p15,10,0.6,0.25,0.15,distance_only,5,1.0,0.0,1.0,0.0,1.0,1.1102230246251565e-16,0.9722888734055235,0.02329887581632391,0.9991238149956908,0.0008932666958193903,0.9969506299265829,0.003106362642464628,0.9755479450796714,0.020251392770286033,0.9992655367231638,0.0005033482960792886,0.9976571523709321,0.0014765439385401296,1.05,0.9739184092425974
df,s10_h0p60_m0p30_e0p10,10,0.6,0.3,0.1,distance_only,5,1.0,0.0,1.0,0.0,1.0,1.5700924586837752e-16,0.9748718425596881,0.009950582576665081,0.9994829072105716,0.000490788553957797,0.9982489932047482,0.001464909861277235,0.9673932348823555,0.014683697751895026,0.999180790960452,0.0004538494071485789,0.9973846042652861,0.0011831314654289988,1.05,0.9711325387210218
df,s10_h0p65_m0p20_e0p15,10,0.65,0.2,0.15,distance_only,5,1.0,0.0,1.0,0.0,1.0,1.5700924586837752e-16,0.9655066434042174,0.02209531633045222,0.9990663602413099,0.0011702219719046403,0.9967232851341812,0.004220735031094134,0.9671970624507136,0.013394986939121157,0.9988418079096044,0.0009416784350724881,0.9967293900129721,0.0021992606710659773,1.05,0.9663518529274655
df,s10_h0p60_m0p20_e0p20,10,0.6,0.2,0.2,distance_only,5,1.0,0.0,1.0,0.0,1.0,1.5700924586837752e-16,0.9814532101560671,0.012362051942797686,0.9993823613904051,0.0006862326449636268,0.9979960283555963,0.001987441774636639,0.9723225797636127,0.01990244728469513,0.9992372881355932,0.0005387635910384603,0.9975900418110679,0.0015425823999133386,1.05,0.9768878949598399
df,s8_h0p55_m0p25_e0p20,8,0.55,0.25,0.2,distance_only,5,1.0,0.0,1.0,0.0,1.0,1.5700924586837752e-16,0.9482081614753113,0.03841702618996899,0.9997127262280954,0.0004844418831956523,0.9989923712312594,0.0016384704187425384,0.9410100081127745,0.03359759619314915,0.9994067796610169,0.00020345847868483906,0.9979744890914113,0.000631673203125287,1.05,0.9446090847940429
df,s8_h0p55_m0p30_e0p15,8,0.55,0.3,0.15,distance_only,5,1.0,0.0,1.0,0.0,1.0,1.5700924586837752e-16,0.9502598494584611,0.045693357000265535,0.999683998850905,0.000627333174430424,0.9989329313933576,0.0020750217860151954,0.9434594743416556,0.04542374938451193,0.9993644067796609,0.00020589519402699547,0.9978468524900226,0.0006148541734901752,1.05,0.9468596619000583
df,s8_h0p55_m0p35_e0p10,8,0.55,0.35,0.1,distance_only,5,1.0,0.0,1.0,0.0,1.0,1.1102230246251565e-16,0.9502758285702321,0.04549971285856091,0.9996409077851192,0.0006093996965123969,0.9987707597028941,0.0020113859911355383,0.9379701900540685,0.05025299695794012,0.9994067796610169,0.0003621717911004921,0.9980213560933446,0.0011379256407791133,1.05,0.9441230093121502
df,s8_h0p60_m0p25_e0p15,8,0.6,0.25,0.15,distance_only,5,1.0,0.0,1.0,0.0,1.0,1.5700924586837752e-16,0.9480766673281098,0.03974689606579176,0.9998563631140478,0.00013436000383415568,0.9994567245524053,0.0005068342018861228,0.9429047533647605,0.041894324534807875,0.9993926553672317,0.0002476790666207665,0.9979412118666353,0.0007492653088539303,1.05,0.9454907103464352
