dataset,profile_id,seed,strata,hard_ratio,mid_ratio,easy_ratio,ranking_mode,val_f1,val_auc,val_pr_auc,val_precision,val_recall,val_specificity,test1_f1_report_only,test1_auc_report_only,test1_pr_auc_report_only,test1_precision_report_only,test1_recall_report_only,test1_specificity_report_only,test2_f1_report_only,test2_auc_report_only,test2_pr_auc_report_only,test2_precision_report_only,test2_recall_report_only,test2_specificity_report_only,saved_dir
dka,s4_h0p40_m0p40_e0p20,42,4,0.4,0.4,0.2,distance_only,0.967032967032967,0.9966918714555766,0.9967137189318763,0.9777777777777777,0.9565217391304348,0.9782608695652174,0.8888888888888888,0.9907152050009194,0.954579664304195,0.8135593220338984,0.9795918367346939,0.9504504504504504,0.8909090909090909,0.9858712715855572,0.9172742117208216,0.8032786885245902,1.0,0.9423076923076923,outputs\dka_sdss32_final_s4_h0p40_m0p40_e0p20_seed42_20260519_131725\20260519_131729
dka,s4_h0p40_m0p40_e0p20,52,4,0.4,0.4,0.2,distance_only,0.989247311827957,0.9976370510396976,0.9975821514112511,0.9787234042553191,1.0,0.9782608695652174,0.9158878504672897,0.9940246368817798,0.9628485403572468,0.8448275862068966,1.0,0.9594594594594594,0.8376068376068376,0.9813579277864992,0.9006127223203726,0.7205882352941176,1.0,0.9086538461538461,outputs\dka_sdss32_final_s4_h0p40_m0p40_e0p20_seed52_20260519_131725\20260519_131815
dka,s4_h0p40_m0p40_e0p20,62,4,0.4,0.4,0.2,distance_only,0.9583333333333334,0.9872400756143668,0.98416561439523,0.92,1.0,0.9130434782608695,0.8596491228070176,0.9815223386651958,0.8666467270836928,0.7538461538461538,1.0,0.9279279279279279,0.8376068376068376,0.9803767660910518,0.8875408732913658,0.7205882352941176,1.0,0.9086538461538461,outputs\dka_sdss32_final_s4_h0p40_m0p40_e0p20_seed62_20260519_131725\20260519_131900
dka,s4_h0p40_m0p40_e0p20,72,4,0.4,0.4,0.2,distance_only,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9514563106796117,0.9964147821290679,0.9819910740791218,0.9074074074074074,1.0,0.9774774774774775,0.897196261682243,0.9907770800627944,0.9482877161856924,0.8275862068965517,0.9795918367346939,0.9519230769230769,outputs\dka_sdss32_final_s4_h0p40_m0p40_e0p20_seed72_20260519_131725\20260519_131948
dka,s4_h0p40_m0p40_e0p20,82,4,0.4,0.4,0.2,distance_only,0.9787234042553191,0.9910207939508507,0.9894743295046312,0.9583333333333334,1.0,0.9565217391304348,0.9158878504672897,0.9922779922779923,0.9655699010668839,0.8448275862068966,1.0,0.9594594594594594,0.8598130841121495,0.9891091051805337,0.9533925587705349,0.7931034482758621,0.9387755102040817,0.9423076923076923,outputs\dka_sdss32_final_s4_h0p40_m0p40_e0p20_seed82_20260519_131725\20260519_132028
dka,s4_h0p45_m0p40_e0p15,42,4,0.45,0.4,0.15,distance_only,0.968421052631579,0.9962192816635161,0.9963047127199539,0.9387755102040817,1.0,0.9347826086956522,0.9074074074074074,0.9942084942084942,0.971793953154405,0.8305084745762712,1.0,0.954954954954955,0.8448275862068966,0.9849882260596546,0.9152110752450511,0.7313432835820896,1.0,0.9134615384615384,outputs\dka_sdss32_final_s4_h0p45_m0p40_e0p15_seed42_20260519_131725\20260519_132111
dka,s4_h0p45_m0p40_e0p15,52,4,0.45,0.4,0.15,distance_only,0.9787234042553191,0.9966918714555766,0.9967298827879811,0.9583333333333334,1.0,0.9565217391304348,0.9142857142857143,0.9924618496047067,0.9520890397130393,0.8571428571428571,0.9795918367346939,0.963963963963964,0.875,0.9897959183673469,0.9271196160283406,0.7777777777777778,1.0,0.9326923076923077,outputs\dka_sdss32_final_s4_h0p45_m0p40_e0p15_seed52_20260519_131725\20260519_132151
dka,s4_h0p45_m0p40_e0p15,62,4,0.45,0.4,0.15,distance_only,0.9583333333333334,0.9725897920604916,0.9641755357233956,0.92,1.0,0.9130434782608695,0.7903225806451613,0.9851994851994852,0.9070892227560666,0.6533333333333333,1.0,0.8828828828828829,0.8166666666666667,0.9816522762951334,0.895173763358543,0.6901408450704225,1.0,0.8942307692307693,outputs\dka_sdss32_final_s4_h0p45_m0p40_e0p15_seed62_20260519_131725\20260519_132229
dka,s4_h0p45_m0p40_e0p15,72,4,0.45,0.4,0.15,distance_only,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9215686274509803,0.9930134215848502,0.9179255079323111,0.8867924528301887,0.9591836734693877,0.972972972972973,0.9142857142857143,0.9901883830455259,0.9236820269861242,0.8571428571428571,0.9795918367346939,0.9615384615384616,outputs\dka_sdss32_final_s4_h0p45_m0p40_e0p15_seed72_20260519_131725\20260519_132310
dka,s4_h0p45_m0p40_e0p15,82,4,0.45,0.4,0.15,distance_only,0.968421052631579,0.9900756143667298,0.9880273761561813,0.9387755102040817,1.0,0.9347826086956522,0.8807339449541285,0.99135870564442,0.9623033025721991,0.8,0.9795918367346939,0.9459459459459459,0.8727272727272727,0.989010989010989,0.9474837877299972,0.7868852459016393,0.9795918367346939,0.9375,outputs\dka_sdss32_final_s4_h0p45_m0p40_e0p15_seed82_20260519_131725\20260519_132406
