dataset,profile_id,seed,strata,hard_ratio,mid_ratio,easy_ratio,ranking_mode,val_f1,val_auc,val_pr_auc,val_precision,val_recall,val_specificity,test1_f1_report_only,test1_auc_report_only,test1_pr_auc_report_only,test1_precision_report_only,test1_recall_report_only,test1_specificity_report_only,test2_f1_report_only,test2_auc_report_only,test2_pr_auc_report_only,test2_precision_report_only,test2_recall_report_only,test2_specificity_report_only,saved_dir
dn,s4_h0p40_m0p40_e0p20,42,4,0.4,0.4,0.2,distance_only,0.9941520467836257,0.9995847750865052,0.9995847367674839,0.9883720930232558,1.0,0.9882352941176471,0.7647058823529411,0.9871519457985624,0.9617475896755329,0.6190476190476191,1.0,0.7894736842105263,0.7860262008733624,0.989010989010989,0.9621193234412864,0.6521739130434783,0.989010989010989,0.8188679245283019,outputs\dn_sdss32_final_s4_h0p40_m0p40_e0p20_seed42_20260519_002234\20260519_002238
dn,s4_h0p40_m0p40_e0p20,52,4,0.4,0.4,0.2,distance_only,0.9880952380952381,0.9993079584775086,0.9993253326700658,1.0,0.9764705882352941,1.0,0.87,0.9764108072378749,0.9552256567348942,0.7981651376146789,0.9560439560439561,0.9172932330827067,0.88,0.9805929919137467,0.9238908882989902,0.8073394495412844,0.967032967032967,0.9207547169811321,outputs\dn_sdss32_final_s4_h0p40_m0p40_e0p20_seed52_20260519_002234\20260519_002317
dn,s4_h0p40_m0p40_e0p20,62,4,0.4,0.4,0.2,distance_only,0.9714285714285714,0.9970934256055363,0.9967746790259718,0.9444444444444444,1.0,0.9411764705882353,0.7758620689655172,0.9573039742212675,0.8153911000078699,0.6382978723404256,0.989010989010989,0.8082706766917294,0.7911111111111111,0.9548621190130625,0.7722734130212021,0.664179104477612,0.978021978021978,0.8301886792452831,outputs\dn_sdss32_final_s4_h0p40_m0p40_e0p20_seed62_20260519_002234\20260519_002410
dn,s4_h0p40_m0p40_e0p20,72,4,0.4,0.4,0.2,distance_only,0.9883720930232558,0.9995847750865051,0.9995911386867118,0.9770114942528736,1.0,0.9764705882352941,0.8018018018018018,0.9837230438734199,0.9608251627837355,0.6793893129770993,0.978021978021978,0.8421052631578947,0.7964601769911505,0.9833091436865022,0.9521686006527352,0.6666666666666666,0.989010989010989,0.8301886792452831,outputs\dn_sdss32_final_s4_h0p40_m0p40_e0p20_seed72_20260519_002234\20260519_002509
dn,s4_h0p40_m0p40_e0p20,82,4,0.4,0.4,0.2,distance_only,1.0,1.0,1.0,1.0,1.0,1.0,0.7659574468085106,0.9728992811699579,0.9363878098277371,0.625,0.989010989010989,0.7969924812030075,0.7841409691629956,0.9741654571843251,0.9111761182686478,0.6544117647058824,0.978021978021978,0.8226415094339623,outputs\dn_sdss32_final_s4_h0p40_m0p40_e0p20_seed82_20260519_002234\20260519_002610
dn,s4_h0p45_m0p40_e0p15,42,4,0.45,0.4,0.15,distance_only,0.9883720930232558,0.9986159169550173,0.998573815200735,0.9770114942528736,1.0,0.9764705882352941,0.8202764976958525,0.984549285301165,0.9589877987347228,0.7063492063492064,0.978021978021978,0.8609022556390977,0.8411214953271028,0.9844495127513997,0.9586864999998191,0.7317073170731707,0.989010989010989,0.8754716981132076,outputs\dn_sdss32_final_s4_h0p45_m0p40_e0p15_seed42_20260519_002234\20260519_002651
dn,s4_h0p45_m0p40_e0p15,52,4,0.45,0.4,0.15,distance_only,0.9440993788819876,0.9997231833910035,0.9997247927898928,1.0,0.8941176470588236,1.0,0.8817204301075269,0.9706271172436584,0.9582363004030964,0.8631578947368421,0.9010989010989011,0.9511278195488722,0.8983957219251337,0.987766950031101,0.9673132344713957,0.875,0.9230769230769231,0.9547169811320755,outputs\dn_sdss32_final_s4_h0p45_m0p40_e0p15_seed52_20260519_002234\20260519_002727
dn,s4_h0p45_m0p40_e0p15,62,4,0.45,0.4,0.15,distance_only,0.9770114942528736,1.0,0.9999999999999999,0.9550561797752809,1.0,0.9529411764705882,0.7807017543859649,0.969656283566058,0.9148831015284068,0.6496350364963503,0.978021978021978,0.8195488721804511,0.8148148148148148,0.9691478332987769,0.8838676444057041,0.704,0.967032967032967,0.8603773584905661,outputs\dn_sdss32_final_s4_h0p45_m0p40_e0p15_seed62_20260519_002234\20260519_002801
dn,s4_h0p45_m0p40_e0p15,72,4,0.45,0.4,0.15,distance_only,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.839622641509434,0.9777327935222672,0.9398886323205982,0.7355371900826446,0.978021978021978,0.8796992481203008,0.8372093023255814,0.9850715322413436,0.9490164451553383,0.7258064516129032,0.989010989010989,0.8716981132075472,outputs\dn_sdss32_final_s4_h0p45_m0p40_e0p15_seed72_20260519_002234\20260519_002837
dn,s4_h0p45_m0p40_e0p15,82,4,0.45,0.4,0.15,distance_only,1.0,1.0,1.0,1.0,1.0,1.0,0.8035714285714286,0.9838882921589688,0.9452609239630787,0.6766917293233082,0.989010989010989,0.8383458646616542,0.8108108108108109,0.9783951897159445,0.9170941618638421,0.6870229007633588,0.989010989010989,0.8452830188679246,outputs\dn_sdss32_final_s4_h0p45_m0p40_e0p15_seed82_20260519_002234\20260519_002912
