dataset,profile_id,strata,hard_ratio,mid_ratio,easy_ratio,ranking_mode,n_seeds,val_f1_mean,val_f1_std,val_auc_mean,val_auc_std,val_pr_auc_mean,val_pr_auc_std,test1_f1_report_only_mean,test1_f1_report_only_std,test1_auc_report_only_mean,test1_auc_report_only_std,test1_pr_auc_report_only_mean,test1_pr_auc_report_only_std,test2_f1_report_only_mean,test2_f1_report_only_std,test2_auc_report_only_mean,test2_auc_report_only_std,test2_pr_auc_report_only_mean,test2_pr_auc_report_only_std,selection_score,mean_external_f1_report_only
dn,s10_h0p40_m0p40_e0p20,10,0.4,0.4,0.2,distance_only,5,0.9953078775369797,0.00491745239174147,0.9995017301038063,0.0006892677978125257,0.9994904654239825,0.0007039372503382397,0.8121723394255971,0.05023362320388656,0.978158307857556,0.010759689139952611,0.9416911500275973,0.021322500378065462,0.8445249391967675,0.03916000097309729,0.9787849885963095,0.0048384294243109865,0.9111182500319155,0.03686317098525119,1.042824237846299,0.8283486393111823
dn,s4_h0p45_m0p35_e0p20,4,0.45,0.35,0.2,distance_only,5,0.9953488372093023,0.006368866947734501,0.9996955017301037,0.0006808788305189875,0.9996905389340045,0.000691975979955407,0.8093272789059351,0.05128738348093464,0.979996695034289,0.0051798196364377025,0.9462085653416688,0.017143048418924056,0.8200595939615714,0.04919764570935305,0.9794484760522497,0.007450360895512442,0.9211275144061307,0.039849543099245016,1.0421491788219401,0.8146934364337532
dn,s10_h0p55_m0p25_e0p20,10,0.55,0.25,0.2,distance_only,5,0.9940966815460742,0.007247077162973642,0.9995847750865051,0.0005178764549167957,0.9995751555957131,0.0005326765554545429,0.8491237722549771,0.034130084339997716,0.9803850285053294,0.009345910034223857,0.942799336841347,0.02962931349437662,0.8607002254589304,0.013626199044972778,0.980489321998756,0.006921315956114843,0.9189934075164221,0.03720828755017254,1.0404523817189126,0.8549119988569538
dn,s4_h0p50_m0p40_e0p10,4,0.5,0.4,0.1,distance_only,5,0.9941241227466631,0.008332070123318665,0.9993079584775086,0.0010449597834284625,0.9993109777412362,0.001033363127881322,0.8216083366269789,0.04257421555024261,0.9793894075848962,0.007453457928160261,0.9511845569851622,0.01491198026040948,0.8337298114895979,0.03520663952716867,0.9812398921832883,0.006366014871661039,0.9372722836507321,0.023220922515383678,1.0399234856088793,0.8276690740582884
dn,s10_h0p55_m0p30_e0p15,10,0.55,0.3,0.15,distance_only,5,0.9930092600877689,0.007565816595656281,0.9990588235294118,0.0009951932463527842,0.9990031284285971,0.001081421525804355,0.8277115342331317,0.029399151756968993,0.9842146575229282,0.004487173729138074,0.9575490620647831,0.008189296514198526,0.8394247213748065,0.029200285547703257,0.9852830188679246,0.0024304968829328686,0.9506708877895018,0.012647286072295054,1.0391792929664112,0.833568127803969
dn,s10_h0p45_m0p40_e0p15,10,0.45,0.4,0.15,distance_only,5,0.991812464080169,0.005211976671327935,0.9993356401384084,0.0005570826795155406,0.9993270743503364,0.0005806334937154255,0.8137161151786179,0.05447167270562605,0.9770139634801289,0.00843071738129944,0.9330857913240267,0.03228499553150169,0.8429481520423355,0.03878997785596902,0.9770308936346671,0.004505919565491075,0.9174843535311961,0.019359230926938524,1.0391732577514254,0.8283321336104768
dn,s4_h0p55_m0p35_e0p10,4,0.55,0.35,0.1,distance_only,5,0.992898172280731,0.00775804571414995,0.9994463667820069,0.0008129647144962313,0.9994359109210785,0.0008377583428493937,0.8273939851090081,0.03282342686495841,0.9770676691729324,0.006992066556736939,0.9357666990951661,0.02477134722624339,0.8486669144227914,0.02487502508440912,0.9744598797428985,0.009469943436877765,0.9025766333900742,0.048206551740099614,1.0389914677627565,0.8380304497658997
dn,s4_h0p60_m0p25_e0p15,4,0.6,0.25,0.15,distance_only,5,0.9928984136989178,0.009725382371498283,0.9993910034602077,0.0008396263467461844,0.9993926364255807,0.0008406753497212761,0.8345306967890096,0.04723984301086617,0.9751921011319507,0.010276185727314082,0.9235125950981073,0.049931401381607746,0.8429590281941047,0.03288516393007273,0.9753390006220195,0.010531614352225594,0.9008962725465451,0.060305524619592876,1.038005272686179,0.8387448624915572
dn,s10_h0p65_m0p25_e0p10,10,0.65,0.25,0.1,distance_only,5,0.9894864054303696,0.004787363965012122,0.9989204152249135,0.0014660830645664375,0.9988705107908921,0.0015759776412042003,0.8199298872762396,0.03247783082843808,0.9782698504503017,0.008234015062181228,0.9385498864884578,0.03206149055730546,0.850360318360266,0.02021180117338001,0.9752643582832263,0.01237962039144457,0.9008885458900874,0.06264465842352081,1.0370387442091091,0.8351451028182528
dn,s10_h0p55_m0p35_e0p10,10,0.55,0.35,0.1,distance_only,5,0.9882747151069861,0.004066744542834695,0.9995847750865051,0.0004152249134947902,0.9995802590363112,0.00042316309651878906,0.8160835597020902,0.04021929605788764,0.9733495827480789,0.01446537180047418,0.8936561325934385,0.07954091118322168,0.8382539924828085,0.015864675958079482,0.9752519178934274,0.008286211207759247,0.9004889336470132,0.049239324094924576,1.036220581589894,0.8271687760924493
dn,s4_h0p55_m0p30_e0p15,4,0.55,0.3,0.15,distance_only,5,0.9906976744186047,0.00972860495969857,0.9993633217993079,0.000936687851387572,0.9993902865727302,0.000885707637897067,0.8217896082218303,0.040894782823871614,0.9796744608774685,0.007305683868929118,0.9412537435749913,0.029294099612777954,0.838955146317249,0.029950254657482755,0.9781961434791624,0.01044907993627715,0.9188676402371305,0.05288414895238317,1.0358015380287207,0.8303723772695397
dn,s8_h0p60_m0p30_e0p10,8,0.6,0.3,0.1,distance_only,5,0.987173618086065,0.004764120064659835,0.9991418685121106,0.001100324258234014,0.9991227754878281,0.0011618333620918371,0.8383867099956117,0.03170894839164568,0.9762620837808808,0.002768617779934419,0.9336959819874018,0.009812218353263643,0.8637466663339441,0.019667782760164287,0.9772423802612483,0.003252579769449841,0.9177422670482199,0.014902037856509403,1.0347486514793407,0.8510666881647779
dn,s10_h0p50_m0p30_e0p20,10,0.5,0.3,0.2,distance_only,5,0.9882195912876217,0.007165599524210826,0.9995570934256055,0.00047342924225570593,0.9995686006717103,0.0004543205440411787,0.8621303340566353,0.03954544290758868,0.9831364124597208,0.0043242363603367695,0.9466291461037193,0.01794039403171472,0.8600556826599244,0.024091918217933134,0.9803566245075679,0.005763088806448826,0.922274328063289,0.028428357683543737,1.0346146461967967,0.8610930083582798
dn,s6_h0p45_m0p35_e0p20,6,0.45,0.35,0.2,distance_only,5,0.9883713799325416,0.008186866560616034,0.9982837370242216,0.002037941848504488,0.9980770514297748,0.0023941605850153827,0.8317644455327666,0.03346268622684477,0.9789308435924976,0.005692602569412748,0.9351848126509406,0.022780592834070485,0.8548621456425634,0.030205930135101748,0.9784325108853411,0.006166999015282832,0.9237876103304178,0.025113922226697963,1.0341921335034447,0.843313295587665
dn,s10_h0p60_m0p20_e0p20,10,0.6,0.2,0.2,distance_only,5,0.988203742869256,0.008488002407898617,0.9996401384083045,0.0005756853797393739,0.9996288568398015,0.0006033972261230402,0.8320207058291494,0.058786681642832496,0.9850243741221185,0.00535043161425502,0.956744285021297,0.019689683757686254,0.8459556531802438,0.04815625595750558,0.9823512336719885,0.006479450963620472,0.9354596652629151,0.03168071200628182,1.033941748585722,0.8389881795046966
dn,s4_h0p65_m0p20_e0p15,4,0.65,0.2,0.15,distance_only,5,0.991687552213868,0.015525984831216668,0.9995570934256055,0.000990369208027564,0.9995570504896565,0.000990465215728198,0.8254274587219745,0.05169994673098332,0.970185078079815,0.011561159373621017,0.9124663005979936,0.05013752037582875,0.8449250569676744,0.03436615511723137,0.9726021148662658,0.011963926815011405,0.8839765847211629,0.05748395992030518,1.03390241446954,0.8351762578448245
dn,s10_h0p65_m0p20_e0p15,10,0.65,0.2,0.15,distance_only,5,0.9870363894231703,0.006575632711903757,0.9987820069204151,0.0011218759379465744,0.9987121895060665,0.0012462853055783126,0.8509802718507053,0.035084600663714015,0.9766834669090307,0.010923717496081576,0.9329041553671811,0.03819721956926383,0.8531308536748365,0.02184877048602775,0.9741488699979266,0.00829039695822949,0.8984966650377476,0.04277061829627578,1.033687673413239,0.852055562762771
dn,s4_h0p60_m0p20_e0p20,4,0.6,0.2,0.2,distance_only,5,0.9882747151069861,0.009348801483677525,0.9996124567474048,0.0004734292422557011,0.9996167821909946,0.0004674146239355647,0.8078150234452757,0.056614740751082034,0.97253573494175,0.009645468519161178,0.9228961295839749,0.036825322044896906,0.8278411577181751,0.05229231832596501,0.9738917686087497,0.008709882062547414,0.9056988090174001,0.03169559967902473,1.0335809372025175,0.8178280905817255
dn,s6_h0p55_m0p25_e0p20,6,0.55,0.25,0.2,distance_only,5,0.9883033693126905,0.009237137407290012,0.9978269896193772,0.002765396538406599,0.997503182884145,0.0031734438546403582,0.8348772598778578,0.012732434381345333,0.9710856812360571,0.005407866915420218,0.8869676409259185,0.03961887559312042,0.8482151663136872,0.01648203051001174,0.9735309973045823,0.008168210430222879,0.8905311723246427,0.05198215578032668,1.0335761500900142,0.8415462130957725
dn,s8_h0p55_m0p35_e0p10,8,0.55,0.35,0.1,distance_only,5,0.9872554867668027,0.007441262496962746,0.9978961937716264,0.0020908359973183833,0.9977355799117025,0.002327038841850074,0.8246611698511289,0.014464113535091826,0.976274477402297,0.0032091263854080996,0.9264470356532287,0.015546869975479854,0.8492267894435395,0.01611480133713929,0.9765125440597139,0.006185583433574844,0.9147083355317532,0.0256839223652213,1.0334296652069026,0.8369439796473341
dn,s6_h0p50_m0p30_e0p20,6,0.5,0.3,0.2,distance_only,5,0.9872158664349182,0.0075494957813616505,0.9980622837370243,0.002357008493553847,0.99788400854585,0.0026404132375949193,0.8040808133092584,0.031515127990006116,0.9758448318598694,0.006829242779117918,0.9113945039046734,0.03537574868065697,0.8319725037598292,0.03671063601309401,0.9746050176238856,0.010346677173346053,0.890686431485354,0.06815423646761665,1.0333442327310884,0.8180266585345438
dn,s10_h0p50_m0p40_e0p10,10,0.5,0.4,0.1,distance_only,5,0.9869927097172846,0.007807581921595737,0.9993079584775086,0.0007323879061770364,0.9993051619528064,0.0007366354357957795,0.8598132829685932,0.04833244395452937,0.9854251012145749,0.004408372597441254,0.96171682640252,0.013283968677093303,0.8650881319357925,0.027023258093575673,0.9799958532034003,0.004606477919876675,0.9219704167051054,0.026720621928157336,1.033054316680362,0.8624507074521928
dn,s4_h0p40_m0p40_e0p20,4,0.4,0.4,0.2,distance_only,5,0.9884095898661382,0.010674369170428799,0.9991141868512111,0.0011563514781567268,0.9990551774300467,0.0012975008741715713,0.7956654399857541,0.0441489363406774,0.9754978104602167,0.01164125132732948,0.925915463805954,0.06262391867480742,0.8075476916277239,0.040784434436429304,0.9763881401617251,0.01316460488610002,0.9043256687365723,0.0766429666918253,1.0330281146234845,0.8016065658067391
dn,s8_h0p55_m0p25_e0p20,8,0.55,0.25,0.2,distance_only,5,0.9859620372636225,0.006523204367117531,0.9988512110726642,0.0013433451137496528,0.9988402291073102,0.0013749425445847758,0.8492552416286095,0.020552401042124697,0.9802321738411965,0.003710246078164545,0.9500345061264172,0.00992528842959328,0.865003241833221,0.01561172896195698,0.9805515239477505,0.0019354926029632744,0.9217748026350975,0.008468399341158832,1.0326429956336969,0.8571292417309153
dn,s4_h0p50_m0p35_e0p15,4,0.5,0.35,0.15,distance_only,5,0.9903299042333307,0.015330904820400757,0.9995017301038063,0.0008396263467461955,0.9994731739731535,0.000899579065779239,0.8355816355170489,0.03364731104419672,0.9752375444104768,0.012076437812356178,0.9110052998662918,0.06861557403107629,0.8516151562687415,0.04294698872772749,0.9732614555256065,0.018933780120177674,0.8865147850634498,0.10983600800794589,1.0326395383283204,0.8435983958928952
dn,s4_h0p60_m0p30_e0p10,4,0.6,0.3,0.1,distance_only,5,0.9883685545224006,0.011456597307127983,0.9994186851211072,0.0009609165374510847,0.9994281455226499,0.000956178873461817,0.8404240641417647,0.038545804073486324,0.979695116913162,0.007769992353995178,0.9429876003727948,0.023718534206365098,0.8520961881681292,0.03012343565110211,0.9820941322828116,0.0060789230653486995,0.936610723249195,0.02269373552052949,1.032611190124892,0.846260126154947
dn,s12_h0p65_m0p20_e0p15,12,0.65,0.2,0.15,distance_only,5,0.9871841279846322,0.010251794978946066,0.9993079584775086,0.0007706248253052092,0.9993109814739807,0.0007621696652924355,0.8291688664899283,0.04646116603572614,0.9812691068330166,0.008808126967007184,0.9504702665385938,0.026560705058683833,0.8453216159281167,0.044574440551843834,0.9805349367613518,0.005243328736308183,0.9310865649855107,0.01976940285038792,1.0320236284190345,0.8372452412090226
dn,s6_h0p45_m0p40_e0p15,6,0.45,0.4,0.15,distance_only,5,0.9871477828177374,0.010463931450616928,0.9975640138408306,0.003042779951927104,0.9973926831396565,0.0032705320550271083,0.8215452233130242,0.014550050533972216,0.9765430058663143,0.004147534454667079,0.9306894058521081,0.01598536205827748,0.8343987717943978,0.01376742391983317,0.9745386688782917,0.00612569026940615,0.913780711947554,0.02869394955086758,1.0317940177844707,0.827971997553711
dn,s10_h0p60_m0p25_e0p15,10,0.6,0.25,0.15,distance_only,5,0.9857667592513527,0.00907659010349897,0.9995570934256055,0.0007016632169210963,0.9995555297918051,0.0007122646199527748,0.8507997259766009,0.04132787895884386,0.98456581012972,0.005301531619491473,0.950777814791681,0.02645594296995616,0.855024312329159,0.03184151779281668,0.9854323035455111,0.00556620755573976,0.944364924852338,0.029688558241969386,1.0312063188708835,0.85291201915288
dn,s12_h0p50_m0p40_e0p10,12,0.5,0.4,0.1,distance_only,5,0.9846670469024689,0.006898768395932304,0.99919723183391,0.0007414862414382848,0.9991991797381703,0.00073695317941545,0.8596782859561124,0.02157147546699728,0.9805213583409073,0.009229573499441862,0.9367053970621807,0.04634046032582101,0.8801110217329905,0.02361747903315724,0.9791084387310803,0.009753555186178582,0.9083567114753777,0.06557899420568664,1.0311775242961982,0.8698946538445514
dn,s10_h0p45_m0p35_e0p20,10,0.45,0.35,0.2,distance_only,5,0.9846396871213472,0.006880648591633847,0.999280276816609,0.0007414862414382848,0.999269991296029,0.0007650605164402429,0.8321158441866918,0.03491276131712004,0.9826778484673222,0.004769925467408216,0.9544566913983706,0.006528719701546845,0.8477100652913461,0.03015647708498138,0.981911673232428,0.00419445965008731,0.9341969711229184,0.02091935867526901,1.0311633766663606,0.839912954739019
dn,s12_h0p60_m0p30_e0p10,12,0.6,0.3,0.1,distance_only,5,0.9849299867909209,0.009655280644984691,0.9987543252595156,0.001394425029730829,0.9987520197515687,0.001427290147232458,0.8324073133103788,0.02276551976928804,0.9831240188383046,0.006583704319352168,0.9391905656080984,0.051361735384518305,0.8523490153754427,0.010868319890787605,0.9786937590711176,0.005087238114893286,0.9154346648975338,0.032621379897199224,1.0300400627314044,0.8423781643429107
dn,s6_h0p40_m0p40_e0p20,6,0.4,0.4,0.2,distance_only,5,0.9861909968501201,0.012378093757760243,0.9988096885813148,0.0019807384160551635,0.9987581800419253,0.0021057365580123915,0.7865158608021243,0.049818322933813594,0.9741014624473271,0.013008239133822345,0.9058271617338208,0.05340759044100009,0.8159995470346797,0.041299353320243155,0.9791540534936761,0.010477357786286856,0.9249109770726959,0.054957456869575386,1.0299424344003059,0.801257703918402
